"file","var","label","n_total","n_valid","valid_rate"
"P_ALB_CR","URXUMA","尿微量白蛋白",13027,12510,"96.0%"
"P_ALB_CR","URXUCR","尿肌酐",13027,12509,"96.0%"
"P_ALB_CR","URDACT","ACR 比值",13027,12509,"96.0%"
"P_BIOPRO","LBXSTB","总胆红素",10409,9475,"91.0%"
"P_BIOPRO","LBXSCH","总胆固醇 (脂代谢)",10409,9475,"91.0%"
"P_BIOPRO","LBXSAPSI","ALP 碱性磷酸酶",10409,9474,"91.0%"
"P_BIOPRO","LBXSGTSI","GGT 谷氨酰转肽酶 (氧化应激 + 胆道)",10409,9473,"91.0%"
"P_BIOPRO","LBXSIR","血清铁 (氧化应激驱动因子)",10409,9473,"91.0%"
"P_BIOPRO","LBXSUA","尿酸 (抗氧化 / 促氧化)",10409,9473,"91.0%"
"P_BIOPRO","LBXSGB","球蛋白 (慢性炎症)",10409,9473,"91.0%"
"P_BIOPRO","LBDSTPSI","总蛋白",10409,9473,"91.0%"
"P_MCQ","MCQ160A","肝病/肝炎史项",14986,9232,"61.6%"
"P_MCQ","MCQ160B","肝病/肝炎史项",14986,9232,"61.6%"
"P_MCQ","MCQ160C","肝病/肝炎史项",14986,9232,"61.6%"
"P_MCQ","MCQ160D","肝病/肝炎史项",14986,9232,"61.6%"
"P_MCQ","MCQ160E","肝病/肝炎史项",14986,9232,"61.6%"
"P_MCQ","MCQ160F","肝病/肝炎史项",14986,9232,"61.6%"
"P_MCQ","MCQ160M","肝病/肝炎史项",14986,9232,"61.6%"
"P_MCQ","MCQ160P","肝病/肝炎史项",14986,9232,"61.6%"
"P_MCQ","MCQ160L","肝病/肝炎史项",14986,9232,"61.6%"
"P_MCQ","MCQ520","肝病/肝炎史项",14986,9232,"61.6%"
"P_MCQ","MCQ550","肝病/肝炎史项",14986,9232,"61.6%"
"P_MCQ","MCQ560","肝病/肝炎史项",14986,9232,"61.6%"
"P_MCQ","MCQ500","肝病/肝炎史项",14986,2001,"13.4%"
"P_MCQ","MCQ570","肝病/肝炎史项",14986,1025,"6.8%"
"P_MCQ","MCQ170L","肝病/肝炎史项",14986,462,"3.1%"
"P_MCQ","MCQ510A","肝病/肝炎史项",14986,236,"1.6%"
"P_MCQ","MCQ510F","肝病/肝炎史项",14986,118,"0.8%"
"P_MCQ","MCQ510D","肝病/肝炎史项",14986,81,"0.5%"
"P_MCQ","MCQ510C","肝病/肝炎史项",14986,34,"0.2%"
"P_MCQ","MCQ510E","肝病/肝炎史项",14986,20,"0.1%"
"P_MCQ","MCQ510B","肝病/肝炎史项",14986,10,"0.1%"
"P_PAQ","PAQ605","PAQ 问卷项 (派生 MVPA 等)",9693,9693,"100.0%"
"P_PAQ","PAQ620","PAQ 问卷项 (派生 MVPA 等)",9693,9693,"100.0%"
"P_PAQ","PAQ635","PAQ 问卷项 (派生 MVPA 等)",9693,9693,"100.0%"
"P_PAQ","PAQ650","PAQ 问卷项 (派生 MVPA 等)",9693,9693,"100.0%"
"P_PAQ","PAQ665","PAQ 问卷项 (派生 MVPA 等)",9693,9693,"100.0%"
"P_PBCD","LBXBCD","血镉",13772,12102,"87.9%"
"P_PBCD","LBXTHG","血总汞",13772,12102,"87.9%"
"P_PBCD","LBXBMN","血锰",13772,12102,"87.9%"
"P_PBCD","LBXBPB","血铅",13772,11107,"80.6%"
"VID_J","LBXVD3MS","25-OH-VD3",8366,7410,"88.6%"
"VID_J","LBXVIDMS","总 25-OH-VD",8366,7409,"88.6%"
"VID_J","LBXVE3MS","VE 3-epi",8366,7402,"88.5%"
