"comparison","n_seqn","notes"
"005_main_total",13172,"005 main analytic cohort, NHANES 2011-2018 (G/H/I/J) post-exclusion"
"006_main_total",5885,"006 main analytic cohort, NHANES P_ pre-pandemic (Aug 2017-March 2020) post-exclusion"
"005_cycle_2011_2012_only",4368,"005 cycle G subset (no FibroScan available; no overlap with 006)"
"005_cycle_2013_2014_only",2400,"005 cycle H subset"
"005_cycle_2015_2016_only",2250,"005 cycle I subset"
"005_cycle_2017_2018_only",4154,"005 cycle J subset — biologically all in P_, but CDC SEQN re-randomized"
"005_PP_sensitivity_total",6599,"005 P_ sensitivity (S5, separate cohort drawn from same P_ files as 006)"
"005_mortality_cohort_total",13149,"005 mortality-linked subset of main (ELIGSTAT==1); P_ has no mortality linkage"
"shared_SEQN_005_main_vs_006_main",0,"Direct SEQN match = 0. CDC re-randomized SEQN in P_; J↔P_ mapping is NCHS RDC-only. SEQN ranges: J = 93,703-102,956; P_ = 109,263-124,822."
"shared_SEQN_005_PP_sens_vs_006_main",5885,"005 P_ sensitivity cohort and 006 main BOTH pull from P_ files, so SEQN match works here. Difference (6,599 vs 5,885) reflects 006's additional FibroScan-valid + Se filter."
"estimated_biological_overlap_upper_bound",3500,"Estimated biological participant overlap (upper bound): 006 main × (J raw / P_ raw) = 5,885 × (9,254/15,560). True overlap is smaller because 006 applies FibroScan-valid filter that excludes a fraction of J participants."
"raw_NHANES_J_rows",9254,"Raw NHANES_J rows in 005 merged data (before exclusions)"
"raw_NHANES_P_rows",15560,"Raw P_ rows in 005/006 merged data (before exclusions)"
"Pr_J_given_Prepandemic",0.5947,"Fraction of P_ raw rows that were originally measured in NHANES cycle J"
