"outcome","effect","pe","ci_lo","ci_hi","p"
"steat_v2","Rcde",1.11522899901818,1.06064414076081,1.18020324460169,0
"steat_v2","Rpnde",1.15912079839965,1.10685269052163,1.22900619233016,0
"steat_v2","Rtnde",1.16212764927885,1.10743470358958,1.23146639955223,0
"steat_v2","Rpnie",1.002115692725,0.999056148215377,1.00727033804891,0.184
"steat_v2","Rtnie",1.00471525996242,0.997248390384341,1.01320898123156,0.184
"steat_v2","Rte",1.16458635429195,1.10968641763071,1.23579464320405,0
"steat_v2","ERcde",0.0629726399324071,0.0336557983659124,0.096991435686387,0
"steat_v2","ERintref",0.0961481584672401,0.0631129129118052,0.136789025883811,0
"steat_v2","ERintmed",0.00334986316730035,-0.0022388090909863,0.00869989267633222,0.188
"steat_v2","ERpnie",0.00211569272500367,-0.000943851770860027,0.00727036182037956,0.184
"steat_v2","ERcde(prop)",0.382611548832919,0.273774795986131,0.470450266748242,0
"steat_v2","ERintref(prop)",0.584180619838555,0.488753514387831,0.704281375210479,0
"steat_v2","ERintmed(prop)",0.02035322540384,-0.0137962782857567,0.0523682546363701,0.188
"steat_v2","ERpnie(prop)",0.0128546059246853,-0.0060460550626192,0.04347150117097,0.184
"steat_v2","pm",0.0332078313285254,-0.0186226756014626,0.0921009892858305,0.184
"steat_v2","int",0.604533845242395,0.506326565077044,0.719406707270667,0
"steat_v2","pe",0.617388451167081,0.529549733251757,0.726225204013869,0
"hfs_v2","Rcde",1.08732021980314,0.459615099889078,2.1298083979742,0.712
"hfs_v2","Rpnde",1.13642542058186,0.549993449744384,2.25900914027982,0.684
"hfs_v2","Rtnde",1.1377782432489,0.550346655983192,2.24984784763774,0.692
"hfs_v2","Rpnie",1.00514600301738,0.962747864038304,1.02592357038203,0.384
"hfs_v2","Rtnie",1.00634254814207,0.954119899681258,1.0269621641289,0.444
"hfs_v2","Rte",1.14363325352177,0.556510706222485,2.16146925001549,0.684
"hfs_v2","ERcde",0.0757621241274854,-0.408307056986072,0.480776153960894,0.712
"hfs_v2","ERintref",0.0606632964543735,-0.333451482335735,1.20267520821341,0.728
"hfs_v2","ERintmed",0.00206182992252657,-0.037420316315651,0.0168375559527757,0.852
"hfs_v2","ERpnie",0.00514600301738399,-0.0372515991802139,0.0259236434187997,0.384
"hfs_v2","ERcde(prop)",0.52746924733556,-2.00183397225817,4.55775032689154,0.333333333333333
"hfs_v2","ERintref(prop)",0.422348550680008,-3.49109535826304,3.08868681914924,0.590361445783133
"hfs_v2","ERintmed(prop)",0.0143548229394809,-0.150139850907921,0.145510970340663,0.779116465863454
"hfs_v2","ERpnie(prop)",0.0358273790449511,-0.433487273078095,0.400393497727327,0.751004016064257
"hfs_v2","pm",0.0501822019844322,-0.455096105603064,0.478980214088053,0.755020080321285
"hfs_v2","int",0.436703373619489,-3.54764536321286,3.11918845871519,0.594377510040161
"hfs_v2","pe",0.47253075266444,-3.55775032689154,3.00183397225817,0.598393574297189
"lsm_v2","Rcde",0.902917939303429,0.80399375480274,0.997384487701816,0.044
"lsm_v2","Rpnde",0.882540790450879,0.792270994671126,0.964411277882188,0.004
"lsm_v2","Rtnde",0.881886110604932,0.791596641253694,0.962950891298668,0.004
"lsm_v2","Rpnie",1.00769292201569,0.99464386113923,1.02003211471968,0.248
"lsm_v2","Rtnie",1.00694540274623,0.99519356455046,1.01913234757003,0.248
"lsm_v2","Rte",0.888670391680539,0.793921308685852,0.969903077813019,0.004
"lsm_v2","ERcde",-0.0737833085577404,-0.152647646210082,-0.00199305384703427,0.044
"lsm_v2","ERintref",-0.0436759009913806,-0.083556191639542,-0.00805360845271582,0.004
"lsm_v2","ERintmed",-0.00156332078603327,-0.00571762437103729,0.00118857890264649,0.252
"lsm_v2","ERpnie",0.00769292201569316,-0.00535613410369539,0.02003213350481,0.248
"lsm_v2","ERcde(prop)",0.662746502673563,0.133029860032901,0.989673295335427,0.04
"lsm_v2","ERintref(prop)",0.392311637943182,0.096084946810401,1.12373373800756,0.008
"lsm_v2","ERintmed(prop)",0.0140422732966716,-0.00847107815935357,0.0648426048326269,0.256
"lsm_v2","ERpnie(prop)",-0.0691004139134153,-0.369332317043922,0.0419502994743529,0.252
"lsm_v2","pm",-0.0550581406167429,-0.298983633203812,0.0342902111312948,0.252
"lsm_v2","int",0.406353911239853,0.0982924982631338,1.18998853994518,0.008
"lsm_v2","pe",0.337253497326438,0.0103267046645753,0.866970139967099,0.048
