"diet_q","blood_q","steatosis_cap275","se"
"D1","B1",0.384201713733181,0.0378680696859672
"D2","B1",0.373657442552283,0.0334920767922479
"D3","B1",0.363041693941087,0.0479827990184973
"D4","B1",0.402899964024968,0.032546219993947
"D1","B2",0.33946137639741,0.0380797428453529
"D2","B2",0.416797320597763,0.0274937523841313
"D3","B2",0.411709612906065,0.0395410071400238
"D4","B2",0.415743082365187,0.0518484939986357
"D1","B3",0.413753517713856,0.0336614158737054
"D2","B3",0.442702832802554,0.0412675598318656
"D3","B3",0.486778959263279,0.0267519782707028
"D4","B3",0.512229576307019,0.033492242123697
"D1","B4",0.368522739257654,0.0315515051365626
"D2","B4",0.430629900388262,0.0378093159439106
"D3","B4",0.548742976289782,0.0391204381493705
"D4","B4",0.51714972827521,0.0377012538459454
