"diet_q","blood_q","fibrosis_lsm8","se"
"D1","B1",0.120137125849363,0.0233412403674577
"D2","B1",0.099269771382118,0.0161429551674112
"D3","B1",0.129523375912516,0.0267449510188108
"D4","B1",0.0915463547646238,0.0148090356326934
"D1","B2",0.0676620154778092,0.0151347157084082
"D2","B2",0.14851270763452,0.0300411288972941
"D3","B2",0.0965827655942767,0.020813516935092
"D4","B2",0.112474515235527,0.0235748871286868
"D1","B3",0.0723600945215106,0.0144449025478291
"D2","B3",0.113345467025637,0.0445330638222475
"D3","B3",0.137278429140245,0.0230120481586824
"D4","B3",0.110551802655066,0.0290742279381274
"D1","B4",0.0860642128805721,0.0250995071327447
"D2","B4",0.0915773560023526,0.027145403021755
"D3","B4",0.0998320099171537,0.0191833722956479
"D4","B4",0.123935643672502,0.0219240316734186
