"step","n","label"
"Raw_merged_table__J___P__",24814,"Raw merged table (J + P_)"
"Pre_pandemic_cohort_only__J_subset_of_P___dedupe_",15560,"Pre-pandemic cohort only (J subset of P_, dedupe)"
"Age____20",9232,"Age >= 20"
"__not_pregnant__excl_RIDEXPRG__1_only_",9145,"+ not pregnant (excl RIDEXPRG==1 only)"
"__LUX_valid__LUXSMED___LUXCAPM_non_NA_",7922,"+ LUX valid (LUXSMED + LUXCAPM non-NA)"
"__LBXBSE__blood_Se____DR1TSELE__dietary_Se_",6969,"+ LBXBSE (blood Se) + DR1TSELE (dietary Se)"
"__BIOPRO__AST_ALT_Alb____CBC_PLT",6747,"+ BIOPRO (AST/ALT/Alb) + CBC PLT"
"Core_covariate_complete__main_analytic_cohort__862_excluded_",5885,"Core covariate-complete (main analytic cohort; 862 excluded)"
"HFS_eligible__fasting_insulin_glucose__within_5_885_",2908,"HFS-eligible (fasting insulin+glucose, within 5,885)"
"HFS_AUROC_analytic_subset__HFS___FIB_4___WTSAFPRP_0_",2810,"HFS AUROC analytic subset (HFS + FIB-4 + WTSAFPRP>0)"
"HFS____0_47_high_risk_cell__within_AUROC_subset_",5,"HFS >= 0.47 high-risk cell (within AUROC subset)"
