"term","estimate","std.error","statistic","df","p.value","2.5 %","97.5 %","conf.low","conf.high","endpoint"
"(Intercept)",0.000286138973983923,0.750743360032524,-10.8679388676746,5862.94052192336,2.97655736960157e-27,6.56766750269854e-05,0.00124664521154476,6.56766750269854e-05,0.00124664521154476,"CAP>=275"
"LBXBSE",1.0192138903771,0.00570048599477895,3.33859858023833,5862.93387429839,0.00084727214530929,1.00788752410615,1.03066753927615,1.00788752410615,1.03066753927615,"CAP>=275"
"I(LBXBSE^2)",0.999970216988822,1.26840746327842e-05,-2.34809834873598,5862.91080334051,0.018902587984704,0.999945352575751,0.999995082020166,0.999945352575751,0.999995082020166,"CAP>=275"
"DR1TSELE",0.999245893422889,0.000814212663422299,-0.926528279888909,5862.9011895401,0.354209644692199,0.997652212303379,1.0008421203389,0.997652212303379,1.0008421203389,"CAP>=275"
"RIDAGEYR",1.02266295054237,0.0024302219394369,9.2213639863687,5862.71744425512,4.00972901724362e-20,1.01780243749759,1.02754667495528,1.01780243749759,1.02754667495528,"CAP>=275"
"RIAGENDR",0.539335490813073,0.0833204174849861,-7.41015813896527,5862.26080043449,1.44008649782167e-13,0.45805949058632,0.635032736202552,0.45805949058632,0.635032736202552,"CAP>=275"
"factor(RIDRETH3)2",0.531410157664987,0.161637908422905,-3.91134194381911,5862.91566570506,9.28220092594837e-05,0.387092720930973,0.729532591029744,0.387092720930973,0.729532591029744,"CAP>=275"
"factor(RIDRETH3)3",0.491529409454939,0.134956464100245,-5.26268608025684,5862.72758521696,1.47012358528097e-07,0.377268579195474,0.640395658907868,0.377268579195474,0.640395658907868,"CAP>=275"
"factor(RIDRETH3)4",0.244461461095648,0.14444899407026,-9.7522147169579,5862.81390630355,2.66464756862007e-22,0.184174630606166,0.324482290336779,0.184174630606166,0.324482290336779,"CAP>=275"
"factor(RIDRETH3)6",0.871810260279138,0.168586940859606,-0.813725366111571,5859.64520871403,0.41583536330046,0.626456419680864,1.21325778785246,0.626456419680864,1.21325778785246,"CAP>=275"
"factor(RIDRETH3)7",0.485630762888337,0.206244311693076,-3.50218963640564,5862.89439386077,0.000464890352286843,0.324126443251439,0.727608755082531,0.324126443251439,0.727608755082531,"CAP>=275"
"factor(DMDEDUC2)2",1.24011908746157,0.193280235220681,1.11344759610472,5862.68182749382,0.265561891297507,0.849002531170224,1.81141432990399,0.849002531170224,1.81141432990399,"CAP>=275"
"factor(DMDEDUC2)3",1.28594063342223,0.177839716360498,1.41414114996525,5862.34156006895,0.157373566840386,0.907428088051356,1.82234089341169,0.907428088051356,1.82234089341169,"CAP>=275"
"factor(DMDEDUC2)4",1.19161999734884,0.176662998488128,0.99236243665842,5862.14641056689,0.321061714552682,0.84281238961815,1.6847856481144,0.84281238961815,1.6847856481144,"CAP>=275"
"factor(DMDEDUC2)5",1.05343677932955,0.188399410410038,0.276316906828728,5862.09166576534,0.782314412370464,0.728130947712981,1.52407894696664,0.728130947712981,1.52407894696664,"CAP>=275"
"INDFMPIR",1.0094745429511,0.02737256023547,0.344503432958215,5862.51298768707,0.73048007179298,0.956733529537802,1.06512296413258,0.956733529537802,1.06512296413258,"CAP>=275"
"factor(SMQ020)2",0.998170252777168,0.0832412272952086,-0.0220013965985296,5854.62900917307,0.982447591251618,0.847881014066557,1.17509867186509,0.847881014066557,1.17509867186509,"CAP>=275"
"factor(ALQ111)2",1.16005456241538,0.14444341445362,1.02785607179582,5337.73875715854,0.304064110129878,0.873977139894799,1.53977321185166,0.873977139894799,1.53977321185166,"CAP>=275"
"BMXBMI",1.20641225731861,0.00737552401358406,25.4423791609294,5862.92119611633,1.54097190967923e-135,1.18909454639392,1.22398217956878,1.18909454639392,1.22398217956878,"CAP>=275"
"DR1TKCAL",1.00008701502615,5.34375151899709e-05,1.6282800623468,5862.97883980764,0.103519243997111,0.999982254166619,1.00019178686072,0.999982254166619,1.00019178686072,"CAP>=275"
